443	SAKHA KOT	KHYBER PUKHTUNKHAWA
444	SAKHAKI	PUNJAB
445	SAKRAND	SINDH
446	SALIH BUTT	SINDH
447	SAMA SATTA	PUNJAB
448	SAMAN ABAD	PUNJAB
449	SAMBERIAL	PUNJAB
450	SAMMUNDRI	PUNJAB
451	SANGHAR	SINDH
452	SANGLA HILL	PUNJAB
453	SANJAWI	BALOCHISTAN
454	SARAI ALAMGIR	PUNJAB
455	SARAI NAURANG	KHYBER PUKHTUNKHAWA
456	SARGODHA	PUNJAB
457	SARUNA	BALOCHISTAN
458	SEHWAN SHARIF	SINDH
459	SHABAZ KALAT	BALOCHISTAN
460	SHAFQAT SHAHEED	PUNJAB
461	SHAH BANDAR	SINDH
462	SHAH PUR SADAR	PUNJAB
463	SHAH RUKUN-E-ALAM	PUNJAB
464	SHAHDAD KOT	SINDH
465	SHAHDAD PUR	SINDH
466	SHAHEED FAZIL RAHOO	SINDH
467	SHAHKOT	PUNJAB
468	SHAHPUR	BALOCHISTAN
469	SHAHPUR CHAKAR	SINDH
470	SHAKARGARH	PUNJAB
471	SHANDUR	GILGIT BALTISTAN
472	SHANGLA	KHYBER PUKHTUNKHAWA
473	SHANGRILA	GILGIT BALTISTAN
474	SHARAM JOGIZAI	BALOCHISTAN
475	SHARAQ PUR	PUNJAB
476	SHEIKHUPURA	PUNJAB
477	SHER SHAH	PUNJAB
478	SHIKARPUR	SINDH
479	SHINGAR	BALOCHISTAN
480	SHORAP	BALOCHISTAN
481	SHORKOT	PUNJAB
482	SHUJA ABAD	PUNJAB
483	SHUJABAD	PUNJAB
484	SIALKOT	PUNJAB
485	SIBI	BALOCHISTAN
486	SILANWALI	PUNJAB
487	SKARDU	GILGIT BALTISTAN
488	SOBHO DERO	SINDH
489	SOHAWA	PUNJAB
490	SONMIANI	BALOCHISTAN
491	SOOIANWALA	PUNJAB
492	SOOMARO	PUNJAB
493	SOUTH WAZIRISTAN	ISLAMABAD
494	SPEZAND	BALOCHISTAN
495	SPINTANGI	BALOCHISTAN
496	SUI	BALOCHISTAN
497	SUKHEKE MANDI	PUNJAB
498	SUKKUR	SINDH
499	SULTAN KHEL	PUNJAB
500	SUNDAR	PUNJAB
